No Sensor found on bus! Rescanning...
No Sensor found on bus! Rescanning...
✖ WiFi connection lost
🔄 WiFi disconnected, retrying...
✖ WiFi connection lost
No Sensor found on bus! Rescanning...
No Sensor found on bus! Rescanning...
✖ WiFi connection lost
🔄 WiFi disconnected, retrying...
✖ WiFi connection lost
No Sensor found on bus! Rescanning...
No Sensor found on bus! Rescanning...
✖ WiFi connection lost
🔄 WiFi disconnected, retrying...
✖ WiFi connection lost
⚠ WiFi connection timeout (20s). Falling back to AP Setup Mode!
✖ WiFi connection lost
🚀 AP Mode active. SSID: 'Pool-Controller-Setup'. IP: 192.168.4.1
[ 20330][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20344][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20352][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20360][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20368][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20376][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20384][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20392][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20400][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20408][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20416][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20424][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20432][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20440][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20448][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20456][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20464][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20472][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20480][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20488][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20496][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20504][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20512][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20520][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20528][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20536][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20544][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20552][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20560][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20568][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20576][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20584][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20592][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20600][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20608][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20616][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20624][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20632][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20640][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20648][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20656][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20664][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20672][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20680][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20688][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20696][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20704][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20712][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20720][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20728][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
